strain	virus	date	region	country
MT521348	Severe acute respiratory syndrome-related coronavirus	2020-05-18	Europe	Serbia
MT434818	Severe acute respiratory syndrome-related coronavirus	2020-04-04	Europe	Serbia
MT415366	Severe acute respiratory syndrome-related coronavirus	2020-02-03	Asia	China
MT415367	Severe acute respiratory syndrome-related coronavirus	2020-02-03	Asia	China
MT415368	Severe acute respiratory syndrome-related coronavirus	2020-02-06	Asia	China
MT415369	Severe acute respiratory syndrome-related coronavirus	2020-02-06	Asia	China
MT415370	Severe acute respiratory syndrome-related coronavirus	2020-02-06	Asia	China
MT415371	Severe acute respiratory syndrome-related coronavirus	2020-02-06	Asia	China
MT415372	Severe acute respiratory syndrome-related coronavirus	2020-02-08	Asia	China
MT415373	Severe acute respiratory syndrome-related coronavirus	2020-01-23	Asia	China
MT415374	Severe acute respiratory syndrome-related coronavirus	2020-02-09	Asia	China
MT415375	Severe acute respiratory syndrome-related coronavirus	2020-02-12	Asia	China
MT415376	Severe acute respiratory syndrome-related coronavirus	2020-02-15	Asia	China
MT415377	Severe acute respiratory syndrome-related coronavirus	2020-02-18	Asia	China
MT359231	Severe acute respiratory syndrome-related coronavirus	2020-04-04	Europe	Bangladesh
